"FIDs","Radius","YDH","YDMZGUID","l8r","l8r75smax","l8r25min","l8rmax","l8rmaxLST","l8rmaxRN","l8rmaxSVVI","l8rmin","l8rminLST","l8rminRN","l8rminSVVI","l8g","l8g75smax","l8g25min","l8gmax","l8gmaxLST","l8gmaxRN","l8gmaxSVVI","l8gmin","l8gminLST","l8gminRN","l8gminSVVI","l8b","l8b75smax","l8b25min","l8bmax","l8bmaxLST","l8bmaxRN","l8bmaxSVVI","l8bmin","l8bminLST","l8bminRN","l8bminSVVI","l8nir","l8nir75smax","l8nir25min","l8nirmax","l8nirmaxLST","l8nirmaxRN","l8nirmaxSVVI","l8nirmin","l8nirminLST","l8nirminRN","l8nirminSVVI","l8sw1","l8sw175smax","l8sw125min","l8sw1max","l8sw1maxLST","l8sw1maxRN","l8sw1maxSVVI","l8sw1min","l8sw1minLST","l8sw1minRN","l8sw1minSVVI","l8sw2","l8sw275smax","l8sw225min","l8sw2max","l8sw2maxLST","l8sw2maxRN","l8sw2maxSVVI","l8sw2min","l8sw2minLST","l8sw2minRN","l8sw2minSVVI","l8RNav2575","l8RNav75smax","l8RNavsmin25","l8RNmax","l8RNmin","l8SVVIav2575","l8SVVIav75smax","l8SVVIavsmin25","l8SVVImax","l8SVVImin","l8NS1av2575","l8NS1av75smax","l8NS1avsmin25","l8NS1max","l8NS1min","l8NS2av2575","l8NS2av75smax","l8NS2avsmin25","l8NS2max","l8NS2min","l8cnt","l8pw","l8pf","l8ndvi","l8evi","l8evi2","l8rvi","l8tcw","l8tcb","l8tcg","l8tcwgd"
161,15,43312707451649,"5b75d988-e0cd-4db1-b270-7bd19dc7380d",1532,1722,1435,1951,1869,1951,1424,1387,1549,1475,1858,1925,2077,1791,1951,1869,1951,1424,1387,1549,1475,1858,848,991,689,1157,1155,1157,884,547,775,822,1007,8883,10119,7924,10863,7800,8131,8007,7800,9952,10202,7926,6667,7249,5845,7873,6137,6563,5414,5414,6935,7390,6664,3186,3375,2750,3513,3057,3324,2419,2419,3214,3350,3397,17069,17328,16644,17457,16113,10272,10377,10130,10489,9988,11626,11824,11248,11933,10861,14962,15199,14485,15362,13990,7,0,1,0.705808929428709,1.56858142710823,1.46308356155659,5.79830287206266,10233.8679,10463.3156,4877.4618,5356.4061
162,15,43312736451650,"f591bfc4-4e57-429f-aabe-300e80fab005",1604,1724,1428,1819,1371,1774,1774,1371,1661,1507,1371,2052,2132,1797,1819,1371,1774,1774,1371,1661,1507,1371,881,1002,605,1101,365,1101,1101,365,909,859,365,9495,10071,8684,10447,8692,8675,8675,8285,9818,10427,8692,7027,7313,6286,7364,7267,5891,5891,5891,6714,7204,7267,3353,3594,3045,3750,3750,2874,2874,2874,3220,3391,3750,17077,17296,16803,17472,16593,10256,10555,10108,10874,10046,11623,11925,11127,11991,10894,14856,15122,14306,15245,13975,6,0,1,0.710964951797459,1.57662337662338,1.47820255365064,5.91957605985037,10828.3451,11098.7597,5241.4513,5586.8938
163,15,43312737441651,"d3e9e886-8ffb-4d90-9c34-a14e40b6baef",1755,2024,1580,2159,2114,2111,1618,1537,2099,1555,2099,2179,2338,2095,2159,2114,2111,1618,1537,2099,1555,2099,921,1125,842,1348,1348,1037,916,788,1022,867,1022,12075,13291,10574,13659,11476,9793,13284,9751,9751,13638,9751,8156,8647,7768,8926,7762,8818,8007,7645,8812,8494,8812,3775,4171,3636,4547,3799,4543,3590,3538,4543,3715,4543,17381,17860,16782,17946,16460,10204,10611,10015,10927,9957,11917,12377,11204,12478,10514,15141,15658,14420,15752,13652,7,0,1,0.746203904555314,1.64346912125362,1.58398821218075,6.88034188034188,12783.5823,13311.1686,7004.6212,5778.9611
164,15,43312735451652,"dd42050e-51ba-44f9-a424-f7d272450bfe",1738,1917,1618,2089,2051,2089,1815,1548,1726,1620,1763,2138,2286,2014,2089,2051,2089,1815,1548,1726,1620,1763,961,1119,882,1259,1248,1219,1158,823,971,895,908,10086,10805,9220,11205,9846,9225,9471,8711,9507,11047,8972,7211,7586,6855,7843,7075,7222,6701,6606,7086,7710,7138,3527,3688,3352,3839,3596,3809,3262,3212,3538,3536,3705,17058,17296,16624,17441,16305,10271,10416,10199,10579,10169,11673,11855,11337,11943,11081,14874,15065,14437,15174,14009,7,0,1,0.706021650879567,1.56828855908322,1.46371912303096,5.80322209436133,11313.0317,11666.5096,5537.0812,5775.9505
165,15,43312707452151,"48c43f6a-93e3-4b29-930a-2adc83673ae3",2131,2533,1786,2833,2447,2833,2221,1592,2119,1601,1658,2384,2679,2052,2833,2447,2833,2221,1592,2119,1601,1658,1144,1434,831,1531,1515,1481,1245,460,1046,482,533,9374,10719,8379,11611,9284,8574,8614,7813,10242,9332,9170,7104,8000,6409,8968,6936,7644,5945,5892,7461,7502,7492,3767,4183,3338,4570,3685,4392,3245,3227,3859,3934,3988,16397,16906,15503,17061,15033,10352,10669,10170,10845,10114,11481,11809,10885,11865,10553,14409,14791,13709,14900,13158,8,0,1,0.629552368535419,1.33329651719314,1.24970668212624,4.39887376818395,11309.1693,11569.5233,4643.5374,6665.6319
166,15,43312731432154,"d4dddfca-cf0e-4ba0-bd8d-790a5d142573",1671,1817,1484,1926,1262,1733,1598,1262,1623,1488,1262,1982,2110,1762,1926,1262,1733,1598,1262,1623,1488,1262,909,985,662,1037,336,919,935,336,806,761,336,8661,9834,8013,10449,8372,7388,10122,7385,9650,9924,8372,6134,6598,5802,6848,6090,5720,6531,5720,6437,6583,6090,3010,3207,2876,3340,3022,2870,3001,2833,2905,3076,3022,16787,17283,16437,17388,16214,10195,10369,10063,10463,10020,11758,12018,11421,12155,11183,14787,15254,14521,15451,14328,8,0,1,0.676538908246225,1.47213680973843,1.37898109276854,5.18312387791741,9764.747,10135.9176,4596.7625,5167.9845
167,15,43312731411653,"2053e1af-0448-4cab-acf6-ea6e2e22a2d5",1265,1463,1155,1633,1165,1489,1166,1115,1371,1228,1186,1678,1827,1538,1633,1165,1489,1166,1115,1371,1228,1186,663,810,441,876,788,844,786,305,676,436,305,7246,7907,6641,8458,6213,7158,6268,6213,7994,7667,7046,5490,6109,4474,6709,3675,5498,3701,3675,5779,5810,5795,2514,2894,1888,3200,1416,2553,1427,1416,2614,2748,2824,16938,17137,16706,17217,16566,10176,10403,9924,10555,9686,11433,11951,11042,12592,10904,14841,15532,14372,16325,14215,6,0,1,0.70273763365057,1.51578894013888,1.45409899834679,5.72806324110672,8367.786,8574.1367,3971.8484,4395.9376
168,15,43312731411654,"0ca328a4-928a-4ef7-90fb-4f584d42501f",1501,1674,1385,1932,1826,1932,1425,1325,1496,1519,1771,1940,2094,1833,1932,1826,1932,1425,1325,1496,1519,1771,841,996,744,1196,1147,1196,854,654,758,831,1120,9460,10881,8068,11455,8029,8666,9239,7958,10892,11455,7958,6673,7296,5806,7850,6167,6655,5889,5445,7083,7735,6317,3096,3284,2667,3378,3023,3281,2580,2385,3193,3377,3145,17264,17535,16802,17651,16279,10139,10238,10030,10311,9929,11851,12091,11499,12153,11151,15277,15481,14807,15573,14339,7,0,1,0.726119879573032,1.63637485093959,1.52314864430393,6.30246502331779,10385.2516,10759.2405,5327.2796,5057.972
169,15,43312731423655,"ca6b0118-d9f7-463e-a696-120de57daea5",1410,1618,1271,1677,1263,1622,1263,1209,1659,1332,1379,1857,2050,1718,1677,1263,1622,1263,1209,1659,1332,1379,809,1008,679,1069,698,1036,707,627,1051,716,870,9248,10294,7778,10591,7742,7642,9112,7618,9228,10401,8781,6034,6467,5290,6915,4884,5282,5340,4810,6106,6187,6282,2695,2874,2373,2928,2190,2463,2283,2133,2768,2654,2848,17313,17686,16817,17714,16500,9976,10117,9868,10186,9806,12123,12504,11749,12580,11540,15506,15837,15131,15956,14882,8,0,1,0.735410020641771,1.68320233646867,1.55109633499565,6.55886524822695,9624.2068,10165.4127,5271.0237,4353.1831
170,15,43312708411656,"a350cd1b-0b55-4afd-9a84-776791b8d944",1727,2064,1363,2187,1364,1834,1288,1287,1842,1356,1551,2157,2503,1793,2187,1364,1834,1288,1287,1842,1356,1551,920,1074,613,1122,769,1019,803,429,1044,674,429,10254,11458,8494,11781,7536,8651,7258,7258,9836,9969,9887,7394,8173,5768,8556,4905,6400,4393,4393,6976,6732,8153,3573,4145,2617,4408,2180,3121,1856,1856,3332,3051,4148,16998,17345,16733,17536,16566,10220,10588,9995,10923,9783,11744,12200,11216,12594,10917,14905,15522,14331,16112,14037,7,0,1,0.711710207829063,1.55409346066924,1.48040250559036,5.93746381007528,11515.3882,11849.5556,5678.8855,5836.5027
