"FIDs","Radius","YDH","YDMZGUID","l8r","l8r75smax","l8r25min","l8rmax","l8rmaxLST","l8rmaxRN","l8rmaxSVVI","l8rmin","l8rminLST","l8rminRN","l8rminSVVI","l8g","l8g75smax","l8g25min","l8gmax","l8gmaxLST","l8gmaxRN","l8gmaxSVVI","l8gmin","l8gminLST","l8gminRN","l8gminSVVI","l8b","l8b75smax","l8b25min","l8bmax","l8bmaxLST","l8bmaxRN","l8bmaxSVVI","l8bmin","l8bminLST","l8bminRN","l8bminSVVI","l8nir","l8nir75smax","l8nir25min","l8nirmax","l8nirmaxLST","l8nirmaxRN","l8nirmaxSVVI","l8nirmin","l8nirminLST","l8nirminRN","l8nirminSVVI","l8sw1","l8sw175smax","l8sw125min","l8sw1max","l8sw1maxLST","l8sw1maxRN","l8sw1maxSVVI","l8sw1min","l8sw1minLST","l8sw1minRN","l8sw1minSVVI","l8sw2","l8sw275smax","l8sw225min","l8sw2max","l8sw2maxLST","l8sw2maxRN","l8sw2maxSVVI","l8sw2min","l8sw2minLST","l8sw2minRN","l8sw2minSVVI","l8RNav2575","l8RNav75smax","l8RNavsmin25","l8RNmax","l8RNmin","l8SVVIav2575","l8SVVIav75smax","l8SVVIavsmin25","l8SVVImax","l8SVVImin","l8NS1av2575","l8NS1av75smax","l8NS1avsmin25","l8NS1max","l8NS1min","l8NS2av2575","l8NS2av75smax","l8NS2avsmin25","l8NS2max","l8NS2min","l8cnt","l8pw","l8pf","l8ndvi","l8evi","l8evi2","l8rvi","l8tcw","l8tcb","l8tcg","l8tcwgd"
15,15,43312712441551,"ac46aa3b-4cc4-4374-883e-01d70d63693e",1626,1942,1519,2283,2265,2280,1631,1503,1600,1578,1918,2027,2271,1937,2283,2265,2280,1631,1503,1600,1578,1918,978,1212,846,1467,1463,1448,1118,766,768,766,1193,6939,7616,6438,8254,7912,7802,6489,6368,7664,7664,6987,5274,6209,4463,6785,6580,6693,4231,4231,6009,5865,6151,2631,3253,2144,3716,3577,3669,2037,2037,3064,2969,3394,15991,16446,15557,16597,15484,10155,10414,9862,10498,9818,11121,11959,10651,12209,10599,14235,15062,13644,15338,13544,6,0,1,0.62031523642732,1.41891891891892,1.22505164908138,4.26752767527675,8397.8581,8678.7417,3339.3512,5058.5069
16,15,43312712453552,"a78d641b-70ef-4edc-89a3-931219ba1066",1544,1832,1359,2127,2018,2127,1365,1228,1561,1261,1629,2011,2280,1863,2127,2018,2127,1365,1228,1561,1261,1629,928,1183,815,1386,1342,1386,1017,719,821,853,926,7949,8572,7571,8867,8688,8647,8381,7388,8453,8309,7716,5682,6327,4653,6567,6305,6558,4409,4184,6297,4741,6017,2736,3114,2031,3255,3024,3228,1593,1531,3039,1781,3064,16643,17107,16239,17366,16020,10085,10303,9703,10348,9445,11615,12508,11261,13204,11179,14826,15858,14464,16908,14272,7,0,1,0.674707679342674,1.56158572264482,1.37380315041697,5.14831606217617,9042.4501,9411.2612,4148.9774,4893.4727
17,15,43312712441553,"32376bf1-fd9a-497e-b661-c9a372efd076",1482,1848,1334,2278,2278,2278,1333,1289,1361,1333,1428,1921,2283,1808,2278,2278,2278,1333,1289,1361,1333,1428,850,1207,629,1484,1480,1480,677,567,660,677,821,7085,7625,6733,8033,7451,7451,8033,6674,7176,8033,6730,5047,5619,4517,6026,6020,6020,4373,4373,5502,4373,5306,2467,2845,2114,3086,3086,3086,2048,2048,2701,2048,2705,16352,16822,15748,17156,15315,10044,10258,9784,10317,9724,11310,12185,11104,12956,11006,14479,15344,14185,15940,14118,6,0,1,0.65402124430956,1.45865875247319,1.31614800616379,4.78070175438596,8123.7159,8477.7191,3596.0948,4527.6211
18,15,43312712451160,"2b36336a-712a-4d6c-aa57-ce5e1c46b773",1462,1806,1346,2281,2240,2281,1568,1311,1332,1311,1338,1865,2252,1800,2281,2240,2281,1568,1311,1332,1311,1338,855,1252,715,1476,1433,1476,1332,627,627,655,640,7661,8260,7249,8602,8561,8376,7619,7025,7780,7739,7591,5356,5712,4885,5889,5807,5748,4610,4551,5810,5728,5741,2560,2762,2236,3029,2954,2959,1988,1988,2641,2565,2628,16645,17000,16107,17099,15732,10001,10182,9779,10249,9644,11719,12145,11444,12458,11390,14937,15406,14682,15856,14619,6,0,1,0.679491395374329,1.54642518585042,1.3873223045798,5.24008207934336,8565.3296,8950.1845,4045.5916,4519.738
19,15,43312712453161,"5e9f9253-e558-429b-8e93-81e1b320a12b",1505,1865,1390,2272,2272,2272,1669,1344,1468,1356,1434,1953,2303,1854,2272,2272,2272,1669,1344,1468,1356,1434,889,1333,749,1572,1572,1572,1340,721,813,759,721,7949,8330,7529,8479,8376,8376,7765,7355,7471,8010,7966,5641,5994,5241,6243,6243,6243,5077,5051,5443,5775,5720,2658,2893,2410,3082,3082,3082,2310,2297,2524,2722,2797,16655,16945,16098,17089,15725,10061,10193,9904,10236,9791,11612,11870,11477,12100,11418,14866,15167,14675,15420,14584,6,0,1,0.681616247091178,1.56218181818182,1.39335755059678,5.28172757475083,8947.5127,9329.3873,4206.004,4741.5087
20,15,43312712453162,"5e9f7797-2e5e-4de8-9cb7-b168d0b6cee8",1636,1902,1526,2101,2050,2084,1864,1502,1639,1535,1628,2000,2293,1852,2101,2050,2084,1864,1502,1639,1535,1628,897,1194,819,1374,1317,1363,1306,788,910,825,884,6682,7207,6345,7406,7121,7000,7036,6225,6555,7043,6635,5565,5871,5228,6021,5910,5854,5371,5075,5529,5582,5628,2898,3106,2698,3238,3139,3129,2779,2599,3021,2906,3044,15997,16273,15640,16424,15419,10353,10442,10206,10472,10113,10887,11173,10765,11418,10739,13928,14238,13745,14526,13659,5,0,1,0.606636210627555,1.29099933480018,1.18903990800611,4.08435207823961,8625.0845,8705.4287,3153.7974,5471.2871
21,15,43312712433657,"4ccd2452-b23c-4f86-b3f3-232805a6f11e",1415,1492,1281,1552,1358,1451,1358,1203,1505,1444,1508,1916,2006,1819,1552,1358,1451,1358,1203,1505,1444,1508,789,921,691,953,938,899,938,664,759,754,738,8169,9311,7332,10183,8601,7084,8601,7084,9542,10076,9686,5330,6357,4594,6990,5341,4684,5341,4473,6708,6740,6773,2391,2924,2111,3181,2229,2205,2229,2024,3142,3036,3166,17106,17360,16742,17491,16599,9940,10144,9814,10238,9800,11979,12328,11751,12502,11699,15320,15689,15058,15886,14914,6,0,1,0.704716193656094,1.57179427507563,1.45988241397199,5.77314487632509,8627.288,9161.1549,4473.6995,4153.5885
22,15,43312735451658,"812617c5-96a4-4fc1-9c52-3170c5804eaf",1316,1389,1218,1409,1336,1388,1279,1158,1384,1187,1328,1769,1832,1656,1409,1336,1388,1279,1158,1384,1187,1328,683,792,628,870,859,684,832,602,670,764,608,6329,7682,5697,8245,8087,5755,7338,5647,5869,7525,5873,4753,5248,4249,5421,4937,4703,4455,4156,4951,4699,5112,2256,2547,1940,2604,2166,2375,1941,1898,2516,2031,2512,16582,17094,16199,17260,16092,10106,10334,9851,10377,9796,11450,12301,10801,12510,10675,14725,15578,14084,15840,13962,6,0,1,0.655722694571615,1.37666831438458,1.32082332110788,4.80927051671733,7451.039,7695.0171,3236.6192,4214.4198
23,15,43312712441659,"17f2ffb6-f07f-4ad5-8cae-f7f4f929c658",2352,2655,2086,2742,2338,2623,2154,2067,2593,2106,2536,2499,2722,2321,2742,2338,2623,2154,2067,2593,2106,2536,1299,1515,1094,1564,1271,1499,1185,1072,1477,1117,1447,6306,7181,5873,7652,6555,6141,7317,5815,6277,7652,6251,6399,6974,5850,7125,6426,7037,5950,5769,7013,5957,7018,4032,4527,3512,4578,3984,4481,3552,3471,4531,3583,4542,14296,15113,14078,15693,14019,10722,10930,10448,10963,10441,9684,10653,9304,11267,9267,11914,12948,11530,13657,11492,4,0,1,0.456687456687457,0.925865218002154,0.827072072825851,2.68112244897959,10002.5154,9730.9482,2122.1829,7880.3325
24,15,43312712452660,"e5814cf4-0590-46f0-8372-26e96e17e64e",1974,2179,1848,2253,1872,2187,1946,1825,1900,1825,2253,2255,2337,2153,2253,1872,2187,1946,1825,1900,1825,2253,1085,1169,980,1171,1045,1171,1068,946,1136,1014,1090,8397,8995,7320,9016,8931,7177,8378,7177,8421,9016,7595,6281,6644,5971,6718,6419,6002,6116,5939,6413,6568,6308,3339,3551,3170,3582,3321,3363,3175,3165,3165,3262,3582,16172,16593,15520,16634,15327,10316,10473,10227,10494,10217,11381,11708,11016,11774,10891,14292,14669,13690,14684,13563,4,0,1,0.619323112525311,1.32657276219588,1.22244130454642,4.25379939209726,10109.5688,10397.612,4077.3642,6032.2046
25,15,43312537423202,"aae0eb7b-36b6-41e3-aac3-22616ebad49e",1884,2229,1658,2458,1847,2212,2007,1552,1945,1628,1883,2332,2545,2094,2458,1847,2212,2007,1552,1945,1628,1883,1020,1151,873,1205,1093,1199,1027,806,1009,921,967,11624,14568,9202,15525,15512,10016,14223,8208,11889,14970,9697,8215,8998,7357,9353,9351,7644,8530,6814,8268,8733,7803,3898,4167,3512,4262,4059,3893,3509,3201,4115,3717,4105,17036,17766,16595,18034,16383,10289,10599,9900,10696,9742,11681,12406,11087,12623,10903,14935,15799,14235,16030,14063,9,0,1,0.721054190109565,1.59369068656326,1.50805742385394,6.16985138004246,12815.5932,13246.0516,6525.2028,6290.3904
26,15,43312536423203,"283e27f1-409e-4e2d-a635-a905f4f5df64",2352,3020,1816,3291,2185,2966,1728,1440,2070,1948,2525,2642,3051,2173,3291,2185,2966,1728,1440,2070,1948,2525,1191,1551,903,1690,1201,1568,923,766,967,1037,1218,10653,13893,8193,15393,13835,9869,12172,6354,9144,15393,9523,8474,9225,6354,9333,9085,8396,7035,3962,7516,9005,8533,4545,5264,3241,5510,4364,5011,3046,1774,4402,3971,5110,16248,17278,15580,17756,15420,10589,10998,9919,11108,9725,11328,12368,10704,12639,10562,14131,15582,13219,15961,13013,10,0,1,0.638292964244521,1.31067041399564,1.27325324563772,4.52933673469388,13205.3039,13315.9749,5348.6129,7856.691
27,15,43312512442204,"a45ce21f-ea12-4baa-a51e-58701dfec13b",1965,2375,1527,2738,1522,2723,1518,1283,1800,1776,2738,2283,2538,1951,2738,1522,2723,1518,1283,1800,1776,2738,1067,1270,899,1419,972,1177,971,745,980,980,1175,8437,9773,6749,10229,6872,10076,6907,5390,9117,9024,10229,6600,7828,4920,8918,4779,8758,4773,3925,7185,7064,8918,3554,4309,2508,5066,2340,4984,2332,1871,4000,3932,5066,16175,16475,15891,16710,15744,10346,10680,10117,10988,9997,11355,11641,10990,11831,10685,14196,14756,13760,14972,13379,7,0,1,0.622188040761392,1.32346325303669,1.23004409305154,4.29363867684478,10448.2207,10620.2155,4097.633,6350.5877
28,15,43312512453205,"75fb67a2-ae84-4944-bcff-95989facfa18",2028,2291,1484,2426,1480,2248,1250,1199,2256,1646,2187,2350,2569,1891,2426,1480,2248,1250,1199,2256,1646,2187,1107,1273,827,1394,845,1230,705,651,1120,947,1198,8490,9722,6401,9994,6457,7818,5501,5176,9228,8579,9716,6551,7842,4467,8259,4385,6390,3564,3404,7368,6282,8111,3468,4215,2153,4431,2071,3522,1550,1500,4077,3126,4334,16244,16562,15856,16759,15584,10360,10632,9998,10712,9839,11349,11942,11017,12258,10882,14328,15231,13938,15674,13759,7,0,1,0.61437535653166,1.30740905596245,1.20936952583432,4.18639053254438,10432.0173,10669.5777,4085.4316,6346.5857
29,15,43312535423206,"78f56919-aafc-4b6e-9e3d-bc0ae69a28cb",1861,2103,1723,2424,2423,2397,2257,1613,1816,1626,1841,2263,2525,2116,2424,2423,2397,2257,1613,1816,1626,1841,1039,1373,919,1786,1782,1744,1666,761,1003,920,776,8976,9809,8527,10421,10119,9920,9904,8275,8594,8989,9267,6711,7264,6103,7501,6991,6904,6681,5816,6608,6378,7408,3304,3513,2952,3673,3491,3456,3252,2777,3328,2983,3574,16551,16777,16346,16930,16120,10224,10385,9979,10487,9888,11514,11906,11235,12003,11062,14740,15095,14412,15145,14313,8,0,1,0.65654701485651,1.44022509210153,1.32313997946948,4.82321332616873,10554.1745,10867.759,4611.7335,5942.441
30,15,43312523441207,"8d298e20-dacd-45c1-a1e8-f8cd7f5376e7",2560,2911,2293,3101,2780,2781,2369,2248,2248,2352,3096,2837,3008,2597,3101,2780,2781,2369,2248,2248,2352,3096,1405,1515,1182,1557,1475,1474,1161,1070,1140,1077,1449,10297,11728,9259,13569,7931,7927,13488,7927,9913,13561,10144,8355,9031,7674,9124,7508,7508,8940,7492,7556,9037,9026,4234,4868,3981,5334,4134,4137,4344,3721,3721,4360,5333,16080,16598,15289,17038,14829,10466,10808,10260,11009,10155,11090,11638,10514,12019,10277,14118,14747,13275,15148,13103,7,0,1,0.601773353037256,1.27922357064912,1.17640797956453,4.022265625,12996.1976,13216.6563,4915.2476,8080.95
31,15,43312523441208,"089ef4c7-ec3a-4dea-843e-e757cd45d312",1875,1981,1773,2070,1940,2065,1881,1679,1768,1741,2059,2502,2625,2395,2070,1940,2065,1881,1679,1768,1741,2059,1077,1241,926,1389,1167,1045,1114,828,1019,830,1017,11222,12518,9744,12757,12390,9034,12552,8914,10565,12630,9053,7837,8276,7363,8685,7936,7678,7836,6917,7492,8685,7738,3602,3822,3360,3939,3633,3884,3529,3183,3388,3786,3917,17142,17442,16642,17580,16270,10161,10352,10008,10614,9905,11716,12107,11298,12312,10801,15213,15493,14619,15619,13974,7,0,1,0.713674887378789,1.62325032128096,1.48619856261528,5.98506666666667,12313.6984,12834.8215,6202.826,6110.8724
32,15,43312523443209,"2f378473-5cb2-42a2-a057-78b7023ded1e",1701,1813,1550,1859,1798,1763,1709,1417,1645,1540,1581,2245,2320,2109,1859,1798,1763,1709,1417,1645,1540,1581,1044,1198,880,1310,1141,1125,1129,721,928,735,871,10437,11693,9331,12003,11462,8592,9552,8592,10643,11665,10719,7085,7468,6294,7695,7286,5651,5900,5539,7464,7684,7533,3211,3350,2889,3429,3354,2596,2625,2509,3337,3334,3346,17236,17546,16871,17672,16577,10035,10157,9884,10208,9788,12027,12325,11752,12477,11618,15383,15637,15130,15773,15046,7,0,1,0.719723183391003,1.70438582800062,1.50409079639679,6.1358024691358,11219.9994,11777.2155,5808.0268,5411.9726
33,15,43312512451210,"a0a12251-6a86-444d-aedf-1c251368aca9",1573,1679,1367,1718,1655,1661,1421,1234,1718,1308,1550,1955,2076,1824,1718,1655,1661,1421,1234,1718,1308,1550,927,1100,796,1297,1297,1245,1101,716,951,743,719,7192,7889,6457,8558,6192,6177,6872,6143,7228,8271,8391,5883,6690,4322,7182,3887,4146,3801,3801,6498,5621,7182,2883,3316,2011,3539,1839,2004,1591,1591,3267,2476,3539,16406,16873,16030,17286,15754,10354,10536,9838,10643,9562,11026,12233,10627,12858,10451,14291,15434,13916,16230,13737,7,0,1,0.641072447233314,1.45141292555665,1.28074798052552,4.57215511760966,8993.0849,9115.7951,3589.2627,5403.8222
289,15,43310106432201,"9687fd9e-d762-4d6d-a129-e4d4e48953fe",1503,1663,1456,1820,1550,1818,1439,1436,1613,1477,1613,2032,2167,1972,1820,1550,1818,1439,1436,1613,1477,1613,911,1147,816,1442,991,1437,1006,787,900,846,900,10752,11454,10348,12302,10110,11086,10578,10110,10715,12280,10715,7245,7883,6371,8115,6237,7530,6494,6237,8115,7680,8115,3150,3473,2689,3598,2789,3469,2589,2589,3598,3295,3598,17444,17694,17262,17852,17183,9977,10235,9822,10389,9770,11963,12353,11524,12392,11381,15409,15836,15105,16071,14972,6,0,1,0.754712362301102,1.78710824284113,1.61017952396206,7.15369261477046,11286.1724,11829.4745,6257.978,5028.1944
290,15,43310106422202,"0ab7b14a-c98f-4f00-bcd1-b45e36f40429",1448,1895,1305,2201,1249,2200,1735,1249,2039,1477,1698,2012,2394,1845,2201,1249,2200,1735,1249,2039,1477,1698,820,1280,749,1621,817,1601,1260,745,1438,882,1064,9679,10626,8893,11195,8444,9798,8898,8444,9856,11195,9374,6657,7037,5767,7112,5197,6950,5573,5197,6909,6982,6619,2965,3206,2467,3343,2096,3242,2287,2096,3149,3042,3153,17080,17579,16356,17670,16332,9979,10106,9792,10161,9680,11924,12321,11701,12605,11693,15322,15819,15017,16318,14937,5,0,1,0.739732182978341,1.68419544933704,1.56421035027974,6.68439226519337,10382.2286,10837.6572,5525.3969,4856.8317
291,16,43310101421203,"f5d87601-cd53-451d-b916-857f0961b952",1724,2004,1563,2168,1758,2168,1565,1528,1532,1565,1697,2330,2598,2107,2168,1758,2168,1565,1528,1532,1565,1697,1080,1338,854,1490,1089,1456,1006,751,751,1006,903,12222,13129,10287,13632,13314,12081,12797,9160,9160,12797,9662,8346,8782,7798,8989,8660,8718,8002,7500,7500,8002,7942,3596,3918,3420,4182,3743,4022,3377,3376,3414,3377,3810,17330,17628,17062,17821,16945,10055,10379,9941,10607,9929,11790,12121,11217,12306,10985,15348,15626,14757,15825,14375,6,0,1,0.752760648214542,1.81412870671183,1.60415877168319,7.08932714617169,12930.5602,13532.2656,7094.0732,5836.487
292,15,43310101422204,"ce1370a4-a1f7-44eb-a0af-fde41b0c9093",1712,1889,1613,2090,1693,2090,2044,1581,1864,1710,1666,2175,2378,2096,2090,1693,2090,2044,1581,1864,1710,1666,983,1297,852,1612,926,1598,1544,835,1241,961,841,10661,12659,9642,13794,11902,9997,10972,9339,10492,13794,10425,7117,7789,6511,8314,7290,6364,6667,6185,6902,8314,7396,3134,3409,2866,3593,3241,2843,2892,2737,3013,3593,3324,17176,17653,16714,17794,16558,9909,10151,9717,10224,9638,12107,12495,11593,12563,11486,15505,15884,15097,15979,15026,6,0,1,0.723268407015275,1.64970689083066,1.51464375660086,6.22721962616822,11264.4388,11871.3675,6015.2562,5249.1826
293,15,43310101422205,"3c3cd145-76da-4281-b4a3-0bce363652c2",1596,1754,1498,1796,1514,1796,1577,1498,1796,1560,1713,1992,2130,1914,1796,1514,1796,1577,1498,1796,1560,1713,869,1058,754,1144,754,1144,956,754,1144,971,883,8851,11129,8110,12032,10227,8110,11761,8110,8110,12032,8216,6620,7154,6525,7602,6566,6585,7414,6524,6585,7602,6707,2966,3128,2689,3137,2689,3099,3069,2688,3099,3127,3118,16768,17552,16363,17696,16363,10036,10316,9911,10361,9911,11393,12210,11001,12270,11001,14923,15847,14458,15868,14458,4,0,1,0.694457739063846,1.52281600268671,1.43013152084779,5.54573934837093,10126.3319,10435.9606,4832.8505,5293.4814
294,15,43310107433206,"e253d91c-8a04-4e6e-96b5-84dd50184130",1463,1741,1381,1907,1404,1797,1780,1381,1907,1399,1406,1872,2110,1831,1907,1404,1797,1780,1381,1907,1399,1406,842,1090,740,1270,887,1139,1141,740,1270,803,849,7240,8057,6954,8456,7075,7742,8272,6954,8305,7175,6959,5282,5521,5149,5669,5338,5337,5236,5149,5403,5342,5332,2524,2636,2482,2709,2543,2647,2524,2482,2651,2528,2537,16491,16685,16236,16728,16236,10041,10187,9854,10197,9854,11468,11920,11321,12215,11321,14745,15079,14657,15350,14657,4,0,1,0.663794093990578,1.48830379225062,1.34321348189208,4.94873547505126,8352.5963,8669.2228,3742.3796,4610.2167
295,15,43310107433207,"94994ac5-f65b-40cb-b7fc-b447abe12364",1402,1612,1337,1753,1469,1753,1753,1337,1753,1367,1413,1902,2106,1841,1753,1469,1753,1753,1337,1753,1367,1413,843,1001,793,1120,869,1120,1120,793,1120,869,856,8017,8827,7591,9127,7779,8526,8526,7591,8526,9127,8557,5267,5655,5181,5885,5402,5191,5191,5181,5191,5885,5673,2454,2615,2366,2711,2511,2518,2518,2366,2518,2680,2711,16799,17202,16589,17395,16589,9928,10049,9794,10067,9794,11975,12299,11804,12437,11804,15252,15449,15121,15578,15121,4,0,1,0.702303853912305,1.63616126638635,1.45284991390519,5.71825962910128,8560.6385,9062.3186,4342.0705,4218.568
296,15,43310137421208,"81ae2cd8-c347-4da5-8e66-e10916086a99",2648,2934,2410,3090,2554,3028,2372,2268,2813,2268,3028,2753,2954,2642,3090,2554,3028,2372,2268,2813,2268,3028,1548,1711,1484,1862,1432,1763,1552,1432,1731,1443,1763,10081,10883,9569,11416,10385,9818,11381,9253,10025,11416,9818,8463,9140,8150,9573,8165,9573,8378,8038,8607,8351,9573,4684,5384,4255,5998,4465,5998,4121,4020,4763,4149,5998,15666,16241,15372,16662,15233,10705,11048,10425,11349,10255,10748,11231,10386,11534,10088,13514,14226,12937,14664,12374,6,0,1,0.58394217927567,1.29404596100279,1.13051492955004,3.80702416918429,13239.0383,13296.368,4618.7616,8620.2767
297,15,43310112422209,"e5f03a27-d0a9-47c9-98b5-060f22d22468",2048,2509,1818,3112,2251,3093,2192,1661,1661,1811,2023,2469,2806,2260,3112,2251,3093,2192,1661,1661,1811,2023,1182,1478,898,1644,1094,1563,1641,780,780,846,1116,10990,12476,10066,12976,12552,12210,9864,9838,10655,12196,10091,7692,8705,7066,9616,8424,9123,6602,6602,7582,8179,7635,3508,4109,3284,4569,4036,4349,3134,3133,3420,3458,3759,16791,17238,16352,17406,15956,10149,10316,9966,10392,9837,11829,12005,11497,12060,11363,15124,15359,14772,15600,14562,7,0,1,0.685841386715754,1.55092271402803,1.40542681470119,5.3662109375,12154.6387,12718.6181,5923.6171,6231.0216
298,15,43310136421210,"fe8131b4-7041-4c8a-ba33-7b92bf917a76",1507,1782,1341,1951,1430,1951,1931,1324,1686,1356,1503,2040,2252,1862,1951,1430,1951,1931,1324,1686,1356,1503,901,1258,745,1571,900,1571,1557,692,1162,799,877,9261,10157,9066,10726,10173,9163,9175,8960,9173,10569,9289,5722,6203,5194,6390,6186,4836,4828,4828,5559,6390,6006,2512,2685,2251,2741,2668,2156,2138,2138,2571,2731,2628,17109,17484,16696,17724,16489,9789,9896,9550,9936,9382,12416,12740,12255,13119,12144,15779,16037,15598,16262,15578,6,0,1,0.720096582466568,1.67886372493829,1.5051868186477,6.14532183145322,9404.8676,10104.994,5163.6803,4241.1873
299,15,43310135422211,"834872c7-34b4-4bea-8e1c-42271a87c97e",1648,1799,1509,1909,1461,1909,1909,1461,1740,1461,1581,2158,2355,2015,1909,1461,1909,1909,1461,1740,1461,1581,1003,1290,870,1483,889,1483,1483,849,1149,889,892,9642,10431,8868,10873,10873,8587,8587,8368,9967,10873,9420,6040,6384,5309,6457,6457,4775,4775,4775,5842,6457,6288,2672,2830,2371,2940,2718,2168,2168,2168,2575,2718,2803,17027,17370,16580,17630,16311,9793,9946,9570,10009,9486,12340,12729,12079,12849,11984,15648,16004,15425,16065,15409,6,0,1,0.708060230292294,1.664237831536,1.46967981056316,5.85072815533981,9918.8569,10639.8823,5303.1204,4615.7365
300,15,43310107422212,"fd6105f2-2c9c-47bc-ad01-01563f220572",1868,1993,1652,2050,1963,2042,1938,1456,1523,1471,2018,2168,2385,2040,2050,1963,2042,1938,1456,1523,1471,2018,976,1356,849,1727,977,1198,1727,711,742,717,968,9280,10130,8550,10669,8697,8294,8549,8216,8665,9368,8261,6732,7277,5771,7538,6950,6632,5162,5156,6563,6665,6968,3211,3482,2588,3635,3365,3076,2137,2135,3118,3095,3395,16714,17108,16296,17274,16052,10182,10361,9801,10447,9498,11689,12193,11352,12542,10846,15014,15583,14586,16005,14175,7,0,1,0.664872622891999,1.40709241400258,1.34624605861583,4.96788008565311,10604.1776,10988.5365,4887.6944,5716.4832
301,15,43310136442213,"b67b406f-4ca1-4e01-b587-a4dd54c92336",1998,2237,1706,2308,2152,2308,1705,1669,1858,1705,2251,2312,2473,2032,2308,2152,2308,1705,1669,1858,1705,2251,1155,1262,984,1299,1143,1279,1115,901,1152,1115,1241,8285,8763,7531,8878,8604,8068,8789,7144,8388,8789,8059,6322,6837,5661,6907,6752,6895,5784,5554,6042,5784,6892,3401,3898,2820,4070,3726,4069,2969,2676,3244,2969,4046,15944,16461,15597,16737,15504,10330,10569,10114,10672,10055,11183,11718,10810,12043,10686,14105,14712,13504,14940,13210,5,0,1,0.611397452105417,1.35361495069543,1.2015334984558,4.14664664664665,10158.6059,10415.9875,3941.6647,6216.9412
302,15,43310106421214,"e1662098-5650-46c6-b463-6ccede1d5f66",2992,3242,2771,3242,2771,3019,2796,2771,3019,2796,3019,3146,3360,3029,3242,2771,3019,2796,2771,3019,2796,3019,1769,1873,1686,1873,1686,1821,1696,1686,1821,1696,1821,9197,10066,8462,10066,9063,8462,9334,8462,8462,9334,8462,7746,8078,7182,8078,7280,7880,7310,7182,7880,7310,7880,4520,4745,4132,4745,4139,4682,4132,4132,4682,4132,4682,15099,15348,14774,15348,14774,10541,10718,10345,10718,10345,10846,11184,10370,11184,10370,13419,13824,12921,13824,12921,3,0,1,0.509065550906555,1.1174140104448,0.947108457274037,3.07386363636364,12576.7221,12747.4536,3602.1377,8974.5844
303,15,43310107411215,"b4fb4942-b746-45fe-ad46-71066b1fe9e4",2797,3040,2522,3040,2522,2898,2550,2522,2898,2550,2819,3012,3149,2926,3040,2522,2898,2550,2522,2898,2550,2819,1691,1775,1628,1775,1628,1766,1642,1628,1766,1642,1696,9117,10218,8249,10218,8883,8249,9401,8249,8249,9401,8515,7674,8153,7015,8153,7172,7697,7195,7015,7697,7195,7831,4456,4725,4018,4725,4050,4623,4018,4018,4623,4018,4633,15309,15661,14840,15661,14840,10574,10748,10325,10748,10325,10846,11279,10362,11279,10362,13456,13951,12890,13951,12890,3,0,1,0.530468356555313,1.19538490637413,0.998054425550193,3.25956381837683,12366.858,12500.8322,3710.5111,8656.3469
304,15,43312606422201,"f51fd915-ab92-4b3d-9104-4f81e9e804be",2138,2512,1961,2753,1889,2730,1932,1850,2730,1903,2730,2568,2883,2316,2753,1889,2730,1932,1850,2730,1903,2730,1346,1572,1163,1706,1153,1361,1220,1118,1361,1179,1361,11039,11972,8368,12340,11629,6307,12061,6307,6307,12041,6307,7466,8635,6882,9238,7080,8773,7020,6683,8773,7050,8773,3420,4686,2913,5758,2852,5758,2787,2645,5758,2823,5758,16649,17014,15138,17275,13911,9870,10602,9657,11154,9554,11716,12351,9798,12644,8343,15040,15736,12465,16265,10429,6,0,1,0.675495180997192,1.6156610760183,1.37605743544078,5.16323666978485,12044.1546,12734.8005,5836.2261,6207.9285
305,15,43310112412216,"9bfd1282-41ab-4afc-aef1-aaa659c6a071",2764,3013,2223,3094,3018,3037,1926,1908,2205,1922,2967,2888,3075,2465,3094,3018,3037,1926,1908,2205,1922,2967,1376,1619,1138,1833,1417,1363,1040,1022,1139,1026,1353,10262,10835,9528,11334,10761,9596,10227,9045,9459,10265,10143,8035,9025,6751,9384,9384,7893,6228,6196,6624,6272,8872,4438,5066,3447,5271,5264,4731,2937,2920,3482,2962,5150,15697,16264,15378,16804,15204,10514,10849,10048,10948,9840,11077,11850,10743,12435,10662,13822,14823,13355,15526,13280,5,0,1,0.575617994779671,1.13420463483996,1.10939478948428,3.71273516642547,12922.5392,13174.5006,4711.2434,8211.2958
306,15,43312636431202,"a0f3c07e-f883-4461-9e6a-bf7ad2bc4c60",2122,2341,1825,2384,1714,2384,1699,1678,2181,1679,2195,2314,2539,2130,2384,1714,2384,1699,1678,2181,1679,2195,1126,1434,1002,1624,1116,1332,1116,957,967,1085,977,8855,9700,8052,9884,8933,7839,8949,7839,8200,9077,8182,6847,7635,5920,7912,5536,7235,5506,5506,7787,5620,7782,3612,3962,3001,4157,2527,3920,2495,2495,4112,2525,4121,16204,16702,15487,16878,15328,10323,10596,10021,10787,9786,11348,11959,10700,12379,10245,14257,15081,13536,15656,13278,5,0,1,0.613373417144939,1.28071977478506,1.20673462950218,4.17295004712535,10859.2752,11090.8997,4301.0015,6558.2737
