"FIDs","p2hh","p2hv","p2hhrhv","p2hvrhh","p2npdi"
15,-4.88516145216796,-9.58766227199349,4.70250081982553,-4.70250081982553,-0.324919373679305
16,-8.05021015482654,-11.7422523741224,3.69204221929587,-3.69204221929587,-0.186537790024652
17,-5.14809154342204,-10.2943472400358,5.14625569661372,-5.14625569661372,-0.333254077855013
18,-4.58188791671952,-8.03934211739713,3.4574542006776,-3.4574542006776,-0.273939559879006
19,-8.65991185918905,-11.5914764328205,2.93156457363149,-2.93156457363149,-0.144758696606897
20,-7.03735005470773,-9.01365397957235,1.97630392486462,-1.97630392486462,-0.123126498544505
21,-6.60912128916263,-10.5931140049101,3.9839927157475,-3.9839927157475,-0.231597385318886
22,-3.52359351294632,-9.27442643865598,5.75083292570966,-5.75083292570966,-0.449353333363858
23,-2.13668559585092,-11.4777821175832,9.34109652173228,-9.34109652173228,-0.68611544118724
24,-1.04167181525349,-10.785732356161,9.7440605409075,-9.7440605409075,-0.823854533056188
25,-7.54183610057457,-15.7560072226223,8.2141711220477,-8.2141711220477,-0.352572167650777
26,-5.31996150462425,-10.4026376250775,5.08267612045329,-5.08267612045329,-0.323272003472475
27,-5.78007126485608,-10.8680738164143,5.08800255155822,-5.08800255155822,-0.305619786872374
28,-9.64533894933466,-13.0918887370761,3.44654978774147,-3.44654978774147,-0.151581795075279
29,-9.53773791523533,-13.3955480283105,3.85781011307517,-3.85781011307517,-0.168218811842831
30,-8.38596911436309,-14.4567719414807,6.0708028271176,-6.0708028271176,-0.265765076628776
31,-9.5895168443584,-13.653758740389,4.06424189603055,-4.06424189603055,-0.174856675480696
32,-8.76554216345531,-13.4056152912086,4.64007312775327,-4.64007312775327,-0.209284207973418
33,-8.57038290459901,-11.1364947304379,2.56611182583893,-2.56611182583893,-0.130214023416709
289,-9.22181964758892,-11.0428067947479,1.82098714715897,-1.82098714715897,-0.0898603856498717
290,0.443882569338612,-10.1586274531699,10.6025100225085,-10.6025100225085,-1.09138326835065
291,-2.67940073847953,-9.28874777683541,6.60934703835588,-6.60934703835588,-0.552244737763597
292,-8.34730064921608,-12.7316523428299,4.38435169361379,-4.38435169361379,-0.207996654068549
293,-4.37694722953414,-15.4721111592547,11.0951639297205,-11.0951639297205,-0.558976839726933
294,-1.37161351730131,-9.09386955136395,7.72225603406264,-7.72225603406264,-0.737878603729614
295,-9.82165559910965,-14.3791610932823,4.55750549417264,-4.55750549417264,-0.188320317950485
296,-5.77050662285663,-13.7685289219436,7.99802229908693,-7.99802229908693,-0.40933557241086
297,-6.15655541228769,-10.304410837081,4.14785542479328,-4.14785542479328,-0.251981284813847
298,-2.03815896375255,-8.16908966447582,6.13093070072327,-6.13093070072327,-0.600644789210684
299,-11.7137818007879,-17.8272543455185,6.11347254473053,-6.11347254473053,-0.206948480562856
300,-3.76493571626435,-13.296933001927,9.53199728566261,-9.53199728566261,-0.558672525448495
301,-4.38611224670929,-12.1859043337847,7.79979208707546,-7.79979208707546,-0.470660408115699
302,NA,NA,NA,NA,NA
303,-3.41267515207677,-11.7446291396696,8.33195398759285,-8.33195398759285,-0.549698932423614
304,-12.0248434285259,-16.3917245330162,4.36688110449026,-4.36688110449026,-0.153673769133564
305,-7.92833882214187,-15.1848294252257,7.25649060308379,-7.25649060308379,-0.313954821140121
306,-9.96862522268417,-20.6214849434845,10.6528597208003,-10.6528597208003,-0.34824522248965
307,-6.05101475001655,-13.2008304115033,7.14981566148676,-7.14981566148676,-0.37138339735755
308,-3.51206917844684,-16.6533612910821,13.1412921126352,-13.1412921126352,-0.651674266636284
309,-7.02560629629987,-18.2390779374241,11.2134716411242,-11.2134716411242,-0.443839770067507
310,-6.09307725177183,-12.4809731750398,6.38789592326792,-6.38789592326792,-0.343915073798174
311,-6.07697046942369,-14.4373041194242,8.36033365000054,-8.36033365000054,-0.407537376658955
312,-9.68838017964093,-16.1633988615898,6.47501868194887,-6.47501868194887,-0.25046704412961
313,-9.80737976785998,-12.9323587305254,3.12497896266537,-3.12497896266537,-0.137423698293068
314,-9.73163575494641,-15.9602108912874,6.22857513634095,-6.22857513634095,-0.242433921629141
315,-11.5031760987323,-12.4525583434478,0.949382244715451,-0.949382244715451,-0.039630688301663
316,-7.08656988107957,-12.6165707235668,5.53000084248725,-5.53000084248725,-0.280665958460611
317,-7.90004475155239,-15.1039644567458,7.2039197051934,-7.2039197051934,-0.313159312359984
318,-10.383309643439,-18.2742944510394,7.89098480760043,-7.89098480760043,-0.275353961258779
319,-11.5798065538139,-17.614412204562,6.03460565074813,-6.03460565074813,-0.20670550223293
320,-7.8202490626476,-10.3003839989754,2.48013493632783,-2.48013493632783,-0.136868007198954
321,-12.5589439826236,-15.4247764936725,2.86583251104898,-2.86583251104898,-0.102410703876081
322,-6.17656611000936,-11.9199135797619,5.74334746975258,-5.74334746975258,-0.317373741645393
323,-9.94443995997348,-13.8031071522358,3.85866719226236,-3.85866719226236,-0.162486979140616
324,-8.5391001671311,-14.7524692699258,6.21336910279472,-6.21336910279472,-0.266764724446144
325,-4.47932806642311,-14.0227830878512,9.54345502142807,-9.54345502142807,-0.515803571919596
326,-7.86423602463765,-14.571212195599,6.70697617096135,-6.70697617096135,-0.298945494875903
327,-6.11667179099598,-13.4344433616079,7.31777157061192,-7.31777157061192,-0.374289216420339
328,-7.92068268269679,-15.6827556919489,7.76207300925211,-7.76207300925211,-0.328853486769536
329,-7.01732613395875,-13.1980198987339,6.18069376477516,-6.18069376477516,-0.305742664744873
330,-8.35695163869573,-16.5804664531435,8.2235148144478,-8.2235148144478,-0.329766088219812
331,-12.8617854889696,-21.3874702615639,8.52568477259425,-8.52568477259425,-0.248930512087447
332,-4.44643471724018,-11.4363878074444,6.98995309020427,-6.98995309020427,-0.440095145515898
333,-9.80928185691567,-12.8240206919219,3.01473883500623,-3.01473883500623,-0.133199246044677
334,-7.20979591819491,-13.84538903508,6.63559311688512,-6.63559311688512,-0.315152449698762
335,-6.64869260880438,-8.84008507154141,2.19139246273703,-2.19139246273703,-0.141482595202961
336,-13.1503797974225,-18.5352745379401,5.38489474051758,-5.38489474051758,-0.169947405331245
337,-5.73116342772583,-8.10944653054867,2.37828310282283,-2.37828310282283,-0.171833691578094
338,-4.15537305886792,-11.1232067783746,6.96783371950664,-6.96783371950664,-0.456052446872197
339,-8.38919927045762,-15.7352839103261,7.34608463986849,-7.34608463986849,-0.30450744104313
340,-13.0752490966653,-16.9101894445302,3.83494034786494,-3.83494034786494,-0.127893422088735
341,-7.52719613479948,-9.58766227199349,2.06046613719401,-2.06046613719401,-0.120390486921949
342,-6.44357144634395,-11.41576439537,4.97219294902607,-4.97219294902607,-0.27840861458087
343,-10.2883146737754,-14.9788854845631,4.69057081078772,-4.69057081078772,-0.18563872456758
344,-10.2382055603099,-15.2735885221191,5.0353829618092,-5.0353829618092,-0.197374710125827
345,-10.6495093022742,-22.8024873257568,12.1529780234826,-12.1529780234826,-0.363296043540167
346,-11.3587327417658,-21.272803386505,9.91407064473921,-9.91407064473921,-0.303818692622012
347,-5.84370444057987,-15.9139887530928,10.0702843125129,-10.0702843125129,-0.462837867179847
348,-1.53736870118014,-15.6491545295885,14.1117858284083,-14.1117858284083,-0.821096020348336
349,-4.25164837045725,-11.9490690408868,7.69742067042955,-7.69742067042955,-0.475128383206022
