"FIDs","s1vv","s1vh","s1vvstd","s1vhstd","s1vvmd","s1vhmd","s1vvrvh","s1vvrvhmd","s1vhrvv","s1vhrvvmd","s1npdi","s1npdimd"
305,-9.5634916026925,-15.5414663434302,0.0186538213575,0.00420372077756,-9.61763586187873,-15.4147726174331,5.97797474073766,5.79713675555442,-5.97797474073766,-5.79713675555442,-0.238119289168574,-0.231585257181525
306,-6.96470852525606,-13.5134095185309,0.0277275649845,0.00802848148693,-7.02930257471458,-13.6732796210444,6.54870099327488,6.64397704632986,-6.54870099327488,-6.64397704632986,-0.319790176971938,-0.320925041306726
307,-8.34341205754543,-14.0739335352893,0.0251514286286,0.00756068690536,-8.34991077650161,-14.126489204423,5.73052147774383,5.7765784279214,-5.73052147774383,-5.7765784279214,-0.255628903699263,-0.257006390383864
308,-6.4645617277285,-13.12637906035,0.0329679733079,0.00847537013886,-6.56269308000297,-13.0570913147835,6.66181733262147,6.49439823478052,-6.66181733262147,-6.49439823478052,-0.340045810187703,-0.331012721857752
309,-6.05891334997581,-12.1037056051813,0.0597747159405,0.0102927474226,-6.28836159139683,-12.2210536303545,6.04479225520551,5.93269203895768,-6.04479225520551,-5.93269203895768,-0.332815012533704,-0.320522932133797
310,-9.60321140309882,-14.9726694306686,0.0183514102184,0.00543192514282,-9.70643455048025,-15.05310115241,5.36945802756982,5.34666660192972,-5.36945802756982,-5.34666660192972,-0.218484865868659,-0.215943734409591
311,-8.51289078640945,-13.6915379514156,0.0162653755226,0.00691571278321,-8.53229108428483,-13.8191644888759,5.17864716500619,5.28687340459106,-5.17864716500619,-5.28687340459106,-0.233225867963196,-0.236533741048143
312,-7.46634375314957,-13.0564122000018,0.0300909079384,0.00858471533212,-7.66352813082033,-13.1699053597087,5.59006844685223,5.50637722888833,-5.59006844685223,-5.50637722888833,-0.27238390689891,-0.264304836329142
313,-6.51236476304458,-12.1060411313871,0.0345864568769,0.0102455148015,-6.68091857538245,-12.1734550713156,5.59367636834248,5.49253649593316,-5.59367636834248,-5.49253649593316,-0.300437985940323,-0.291313654797281
314,-8.75667203827643,-13.9627871491032,0.0233988353407,0.00770197223197,-8.86007904434249,-14.0464359550221,5.20611511082673,5.1863569106796,-5.20611511082673,-5.1863569106796,-0.2291478449328,-0.226414053417705
315,-8.78158288046735,-13.8764424453481,0.0191519165141,0.00769446617817,-8.77563045649105,-13.9398945908567,5.09485956488077,5.16426413436561,-5.09485956488077,-5.16426413436561,-0.224858940336514,-0.227345136139329
316,-9.09221548938055,-13.7982116838812,0.0197198725267,0.0066816302574,-9.11924088635186,-13.8911267887636,4.70599619450066,4.77188590241176,-4.70599619450066,-4.77188590241176,-0.205587958620437,-0.207379819818017
317,-6.99722922324495,-11.7776731532385,0.039109478543,0.0118794329951,-7.13981719804529,-11.8560666166447,4.78044392999354,4.7162494185994,-4.78044392999354,-4.7162494185994,-0.254618843503618,-0.248277440765994
318,-7.62300185986156,-12.7596492355211,0.0259443399511,0.00877776323889,-7.66138997891724,-12.8744875108681,5.1366473756595,5.21309753195091,-5.1366473756595,-5.21309753195091,-0.252010759131482,-0.253853166710014
319,-6.72823756727443,-12.2861640946403,0.0363193661202,0.00840029066983,-6.87448333946329,-12.3792799992955,5.55792652736592,5.50479665983224,-5.55792652736592,-5.50479665983224,-0.292300889935352,-0.285907568457061
320,-7.88039146295426,-13.2027351541646,0.0251122969018,0.00777873669292,-8.03073294188872,-13.291654210329,5.32234369121038,5.26092126844033,-5.32234369121038,-5.26092126844033,-0.252445654189108,-0.246732283345354
321,-5.97106117851134,-11.6904547114366,0.0509425217766,0.0106586941255,-6.13609862527946,-11.8142649143011,5.7193935329253,5.67816628902167,-5.7193935329253,-5.67816628902167,-0.323833671388337,-0.316325977270672
322,-6.43933512599817,-12.3219290826008,0.0536219792739,0.00987323356565,-6.56953997384212,-12.4127711149981,5.88259395660266,5.84323114115593,-5.88259395660266,-5.84323114115593,-0.313549976760439,-0.30782506480948
323,-7.04926270968103,-13.213095483398,0.0325636339474,0.00933880538823,-7.13641613566437,-13.3663532203748,6.16383277371699,6.22993708471041,-6.16383277371699,-6.22993708471041,-0.30420115541252,-0.303858321601582
324,-8.97811759960589,-14.2622678715664,0.0184220440371,0.00542679916494,-9.08660724068363,-14.3947790169007,5.2841502719605,5.30817177621711,-5.2841502719605,-5.30817177621711,-0.227369304115676,-0.226058705307597
325,-5.40185931495003,-12.4483039759171,0.0624736932417,0.0123170289596,-5.44732822247354,-12.6538630817784,7.04644466096704,7.20653485930482,-7.04644466096704,-7.20653485930482,-0.394755193336091,-0.398124893448976
326,-8.22486569557336,-13.9746034961407,0.0307705418722,0.00779436021368,-8.34652195458139,-14.0989174024758,5.74973780056735,5.75239544789444,-5.74973780056735,-5.75239544789444,-0.259003391068172,-0.256283486207891
327,-5.60945921686921,-11.7004801650705,0.0466417280777,0.0118084967059,-5.69328224931137,-11.7592896617163,6.09102094820131,6.06600741240496,-6.09102094820131,-6.06600741240496,-0.351879969871897,-0.347570973683945
328,-7.38500905300811,-13.294126274039,0.0331955409213,0.00935005789877,-7.58798113810237,-13.3794558579014,5.90911722103088,5.79147471979904,-5.90911722103088,-5.79147471979904,-0.285752625899309,-0.276212811365683
329,-8.77337050146371,-14.7731526793386,0.0260523695166,0.00647628547779,-8.88100694775741,-14.7645039430208,5.99978217787488,5.88349699526334,-5.99978217787488,-5.88349699526334,-0.254805439079284,-0.248820887078313
330,-8.37196685624974,-14.1945399347971,0.0266206647978,0.00889527224643,-8.52234154347149,-14.3374109885664,5.82257307854736,5.81506944509487,-5.82257307854736,-5.81506944509487,-0.258018360238964,-0.254380244796835
331,-7.59185385061283,-14.0227020700098,0.027281217024,0.00605499782166,-7.61775256251379,-14.0578885392911,6.43084821939696,6.4401359767773,-6.43084821939696,-6.4401359767773,-0.297523957605867,-0.297113979075851
332,-6.61641336193024,-12.192356805789,0.035760291508,0.0131617822401,-6.63403505539069,-12.4496068905726,5.5759434438588,5.81557183518195,-5.5759434438588,-5.81557183518195,-0.296454440887824,-0.304741194141514
333,-6.53010963049572,-12.1635558647114,0.0366338909082,0.00633774514079,-6.65931264895928,-12.1215796810355,5.6334462342157,5.46226703207622,-5.6334462342157,-5.46226703207622,-0.301355891687484,-0.290841720196249
334,-7.57549674178517,-13.217927425137,0.0283687543439,0.00615628887778,-7.65498427113681,-13.2532529326287,5.64243068335183,5.59826866149189,-5.64243068335183,-5.59826866149189,-0.271356494152017,-0.267754216050488
335,-6.11567811754588,-11.0129226309747,0.0457868064695,0.010715852081,-6.27800220398203,-11.0543122756209,4.89724451342886,4.77631007163883,-4.89724451342886,-4.77631007163883,-0.285910366254046,-0.275572548447567
336,-7.81480183225041,-14.1526645015041,0.0337580128712,0.00539766899196,-7.93949019856776,-14.1658920822593,6.33786266925372,6.22640188369155,-6.33786266925372,-6.22640188369155,-0.288511318190353,-0.281669043520318
337,-7.91196764780245,-13.1334870395733,0.0226162208247,0.0077805082473,-7.83102150304165,-13.323067602276,5.22151939177085,5.49204609923437,-5.22151939177085,-5.49204609923437,-0.248106751283592,-0.259621015676529
338,-5.3748775728178,-10.788749723319,0.0924698351648,0.0375071238087,-5.6336649587863,-11.279618607349,5.41387215050123,5.64595364856272,-5.41387215050123,-5.64595364856272,-0.334941659524355,-0.333817713543652
339,-5.34571714416353,-12.0544161478588,0.0604236611115,0.0076741465083,-5.48191213637242,-12.0920749160292,6.70869900369529,6.61016277965677,-6.70869900369529,-6.61016277965677,-0.385554460480548,-0.376133358921159
340,-9.91057968121366,-15.3198501442521,0.0171684357071,0.00460979426093,-9.89719326293619,-15.3755215712614,5.40927046303844,5.47832830832525,-5.40927046303844,-5.47832830832525,-0.214394701178603,-0.21676849298803
341,-5.38489881933393,-10.398545509761,0.0457862162934,0.0132694026197,-5.45314663951114,-10.5480087682872,5.01364669042708,5.09486212877605,-5.01364669042708,-5.09486212877605,-0.317652255482981,-0.318405890007981
342,-8.80807443045568,-14.3243288339529,0.0233111169723,0.00586776967119,-8.97770974405218,-14.3568818686415,5.51625440349721,5.37917212458928,-5.51625440349721,-5.37917212458928,-0.238464388695164,-0.230523516925966
343,-7.63860011409227,-13.3100822221811,0.0237478341431,0.00433708380374,-7.62408509320546,-13.3195668693973,5.67148210808888,5.69548177619186,-5.67148210808888,-5.69548177619186,-0.270732164297918,-0.271943106501281
344,-7.56737363850727,-13.6245112610322,0.0250791623264,0.005255310624,-7.51265708353711,-13.5700712693558,6.05713762252491,6.05741418581866,-6.05713762252491,-6.05741418581866,-0.285823448515264,-0.287316427192284
345,-7.01757827712429,-13.4200806301221,0.0282735692859,0.00699703260589,-7.06007045708685,-13.3735520126115,6.40250235299784,6.31348155552469,-6.40250235299784,-6.31348155552469,-0.313269850625002,-0.308975149408145
346,-7.64368224536348,-14.4099076278801,0.0160631763215,0.00618464232475,-7.6521887840465,-14.4856662792986,6.76622538251666,6.83347749525213,-6.76622538251666,-6.83347749525213,-0.306808343739345,-0.308678391637259
347,-7.76033793343458,-13.8616241073737,0.0347697859113,0.00686284921078,-7.76174791149733,-13.8638232984849,6.10128617393908,6.10207538698756,-6.10128617393908,-6.10207538698756,-0.282180042792777,-0.282169443190054
348,-6.32047677359247,-12.6763136493767,0.0484883020706,0.00908125868421,-6.4241901132593,-12.7094517442466,6.35583687578425,6.28526163098729,-6.35583687578425,-6.28526163098729,-0.334574248295088,-0.328492697720359
349,-6.88455939987398,-13.3272302806686,0.026529013386,0.00600351674902,-6.94894552390418,-13.2877645374071,6.44267088079458,6.33881901350291,-6.44267088079458,-6.33881901350291,-0.318758060647979,-0.313233672583051
350,-8.11510907390592,-13.9990898101304,0.0221010396678,0.00819999248093,-8.17808941060111,-14.047666683363,5.88398073622444,5.86957727276188,-5.88398073622444,-5.86957727276188,-0.266072525036028,-0.2640889807279
351,-7.03567423195368,-12.4792480405001,0.0349598011556,0.00942252652421,-7.01341624618218,-12.5784905819233,5.44357380854643,5.5650743357411,-5.44357380854643,-5.5650743357411,-0.278944170647827,-0.284049652980064
352,-7.50199722791412,-12.6675350796915,0.0263894939895,0.00506727446496,-7.66200282430043,-12.5951857384375,5.16553785177737,4.9331829141371,-5.16553785177737,-4.9331829141371,-0.256105980693936,-0.243527521050549
353,-7.17571737413093,-12.7789518262461,0.0298143435172,0.00804586820649,-6.99675889096461,-12.9856399377157,5.60323445211517,5.98888104675107,-5.60323445211517,-5.98888104675107,-0.280798162868533,-0.29970781276547
354,-7.34441048625684,-13.0739680846911,0.0251975278875,0.00866992923979,-7.30465915936294,-13.173907024569,5.72955759843422,5.86924786520605,-5.72955759843422,-5.86924786520605,-0.280607864063529,-0.286604433752361
355,-8.22852332366655,-13.4183430102725,0.0247558710321,0.00719937527074,-8.14701732923616,-13.4379642472978,5.18981968660596,5.29094691806164,-5.18981968660596,-5.29094691806164,-0.239749236981664,-0.245121678668175
356,-6.9693645783902,-12.5117301920329,0.0380356027552,0.0102519526269,-7.11014962764828,-12.6060938479804,5.54236561364274,5.49594422033211,-5.54236561364274,-5.49594422033211,-0.284499699783677,-0.278752097331607
357,-8.61288379517111,-15.2416987180687,0.0257428670431,0.00511932138142,-8.80689856952252,-15.2984941540341,6.62881492289754,6.49159558451156,-6.62881492289754,-6.49159558451156,-0.277884340219261,-0.269300552741784
358,-7.86895041215959,-13.3946444445534,0.0305503405125,0.00715562840205,-7.94274667011747,-13.5502239805015,5.52569403239379,5.60747731038407,-5.52569403239379,-5.60747731038407,-0.259866408743643,-0.260898197905582
359,-7.98626133241597,-13.8450121791519,0.0254463621384,0.00700739571762,-7.99807611575007,-13.9352110247252,5.85875084673596,5.93713490897512,-5.85875084673596,-5.93713490897512,-0.268365051797438,-0.270690611532589
360,-9.20478635523855,-14.4185303617059,0.018303091367,0.0050071647704,-9.3543482466444,-14.4991972864022,5.21374400646736,5.14484903975785,-5.21374400646736,-5.14484903975785,-0.220703302120471,-0.215684877228427
361,-7.36844543678504,-14.7218843057848,0.060405145746,0.00637959063483,-7.61939541318601,-14.8015302213033,7.35343886899972,7.18213480811734,-7.35343886899972,-7.18213480811734,-0.332880448354244,-0.320331770650419
362,-7.56739835541365,-13.1483063202525,0.0368079679252,0.00970258839451,-7.69184668174537,-13.28004076054,5.58090796483884,5.5881940787946,-5.58090796483884,-5.5881940787946,-0.269404688482285,-0.266461189731888
363,-8.03002032849604,-13.0726745190501,0.024800746912,0.00824646425996,-8.18771022654186,-13.1492361175055,5.04265419055403,4.96152589096363,-5.04265419055403,-4.96152589096363,-0.238957831072481,-0.232532144523474
364,-7.12293137542513,-13.4578774055102,0.0332609635291,0.0081998359449,-7.24675626919372,-13.5437614675895,6.33494603008512,6.29700519839574,-6.33494603008512,-6.29700519839574,-0.307808410131742,-0.302878710290841
365,-7.76182136335897,-13.2996110738758,0.0272691740639,0.0101197553473,-7.87902576373293,-13.4482395180758,5.53778971051686,5.56921375434285,-5.53778971051686,-5.56921375434285,-0.262935093660891,-0.261131170862922
366,-7.22072510620837,-13.0459673792773,0.0276517462437,0.0069381387478,-7.26400610968308,-13.1451639169847,5.82524227306892,5.88115780730157,-5.82524227306892,-5.88115780730157,-0.287429351249138,-0.28816251712426
367,-6.09589252513795,-11.9713987746065,0.0359118771015,0.00958510485402,-6.10382416954511,-12.0907445139305,5.8755062494686,5.98692034438536,-5.8755062494686,-5.98692034438536,-0.325201279593676,-0.329049863645447
368,-8.10230524240727,-15.3202321982377,0.0668271940842,0.00465103823222,-8.51708172489852,-15.3839398700931,7.21792695583042,6.86685814519461,-7.21792695583042,-6.86685814519461,-0.308161614603942,-0.287303959703276
369,-6.34391009414461,-12.2198387989642,0.0367669348656,0.00980756344542,-6.4631692261182,-12.3248093208137,5.87592870481959,5.86164009469548,-5.87592870481959,-5.86164009469548,-0.316527051656082,-0.311988864584514
370,-6.86874412372535,-12.5337602361325,0.036352985172,0.010302244329,-6.91482675576998,-12.7002202968809,5.66501611240716,5.78539354111097,-5.66501611240716,-5.78539354111097,-0.291973448753739,-0.294946707269259
371,-8.59349265422178,-14.9464972643393,0.0268145101259,0.00654174408238,-8.75348555426812,-15.0391783421388,6.35300461011755,6.2856927878707,-6.35300461011755,-6.2856927878707,-0.269881364949449,-0.26418617163839
372,-8.815784478465,-14.8973805674752,0.0324974193088,0.00703682486445,-9.0303476374756,-15.0212160042394,6.0815960890102,5.99086836676383,-6.0815960890102,-5.99086836676383,-0.256464966917244,-0.249084361250146
373,-6.98861719999653,-12.6118983721032,0.0511164844879,0.0107068134307,-7.22124735121071,-12.7016102113267,5.6232811721067,5.48036286011595,-5.6232811721067,-5.48036286011595,-0.286894553942812,-0.275079156838482
374,-6.94637787918543,-12.919710395943,0.0457228097205,0.0118147033338,-7.16144089188476,-13.0815308668846,5.97333251675754,5.9200899749998,-5.97333251675754,-5.9200899749998,-0.300679853730235,-0.29245162447234
375,-8.66356846728372,-14.6231966975664,0.0193787868812,0.00586487428598,-8.74675533761892,-14.6154949660568,5.95962823028268,5.86873962843786,-5.95962823028268,-5.86873962843786,-0.255923404908053,-0.251206093255259
376,-8.22535374967029,-14.1478625854048,0.0320766903973,0.00801896653494,-8.42381112961465,-14.2168632452167,5.92250883573452,5.79305211560206,-5.92250883573452,-5.79305211560206,-0.264714234513061,-0.255869238684954
377,-7.38679051562068,-13.0854954629766,0.0504013483868,0.0133703952145,-7.74533552486358,-13.2881270333279,5.69870494735593,5.54279150846435,-5.69870494735593,-5.54279150846435,-0.278361925644924,-0.263522541432709
378,-9.01458205961249,-14.4125043476564,0.0261353127458,0.0049958916904,-9.18568009387829,-14.540424586195,5.39792228804391,5.35474449231671,-5.39792228804391,-5.35474449231671,-0.23041372683754,-0.225689996926211
379,-6.14549787228692,-12.8927559625834,0.12353192934,0.0119459371202,-6.78452364110326,-13.0222738590177,6.74725809029647,6.23775021791447,-6.74725809029647,-6.23775021791447,-0.354405301495573,-0.31492977185617
380,-7.48049842414032,-13.0812645087769,0.0322622458055,0.00913555640158,-7.66627986745028,-13.1222738889276,5.60076608463661,5.45599402147728,-5.60076608463661,-5.45599402147728,-0.272387445712175,-0.262451832167661
381,-8.4456580171984,-13.7073816962863,0.0198936414893,0.00563834035595,-8.45001201628089,-13.6966370807849,5.26172367908794,5.24662506450399,-5.26172367908794,-5.24662506450399,-0.23751700656615,-0.236903788085897
382,-6.5238141938048,-12.2705340588371,0.037871674119,0.0112333852635,-6.571218865467,-12.2706247644599,5.7467198650323,5.69940589899289,-5.7467198650323,-5.69940589899289,-0.305768510180952,-0.302486636177174
383,-6.93518511375103,-12.3870884504548,0.0296537244263,0.00873917426484,-6.96066571722025,-12.4540764356206,5.45190333670378,5.49341071840034,-5.45190333670378,-5.49341071840034,-0.28215640973034,-0.282950485520433
384,-7.34653461171727,-12.3919863233443,0.0256054479954,0.0092504481253,-7.54158434741458,-12.4532722663032,5.04545171162699,4.91168791888859,-5.04545171162699,-4.91168791888859,-0.255614477306897,-0.245647568961253
385,-7.14351162504172,-12.229750764676,0.0286884658187,0.00908618027233,-7.35244950601715,-12.3326963911671,5.08623913963424,4.98024688514994,-5.08623913963424,-4.98024688514994,-0.262539113821829,-0.25299517266277
386,-6.59207134896083,-11.758315668994,0.031125170658,0.00827646369655,-6.75374461162024,-11.863752394658,5.16624432003321,5.11000778303781,-5.16624432003321,-5.11000778303781,-0.281533262212852,-0.274473404309644
387,-7.10226406574092,-13.0178815100219,0.0305182392548,0.0107859356895,-7.1508031373747,-13.2298164610664,5.91561744428099,6.07901332369173,-5.91561744428099,-6.07901332369173,-0.294014644278075,-0.298274215576679
388,-6.74216445756444,-12.4812072071177,0.0400425517036,0.0103301777355,-6.87581825038985,-12.5505957150684,5.73904274955331,5.67477746467853,-5.73904274955331,-5.67477746467853,-0.298545065333012,-0.292116572557794
389,-7.66047101691473,-13.4469034462898,0.0341540598547,0.0105444857559,-7.850042614832,-13.5140640436592,5.78643242937503,5.66402142882725,-5.78643242937503,-5.66402142882725,-0.274142690719883,-0.265118571039153
390,-7.5101056190635,-12.9332454066296,0.035110656132,0.010182298624,-7.43685874645088,-13.0194414365718,5.4231397875661,5.58258269012097,-5.4231397875661,-5.58258269012097,-0.265276459849969,-0.27290285340817
391,-6.85766889052485,-12.1367069896358,0.0382644312638,0.00799487630706,-6.99905511361005,-12.2063893350584,5.27903809911093,5.20733422144832,-5.27903809911093,-5.20733422144832,-0.277926378440516,-0.271138438652971
392,-6.18050497326491,-11.413432846544,0.0417040352425,0.012973432668,-6.31336279756684,-11.5184480077374,5.23292787327912,5.20508521017054,-5.23292787327912,-5.20508521017054,-0.297427894020825,-0.291898858001692
393,-7.39357544892322,-13.4576387270535,0.0396112721362,0.00749479204891,-7.39495252666115,-13.5389537536799,6.06406327813024,6.14400122701873,-6.06406327813024,-6.14400122701873,-0.29082542757231,-0.293495210341538
394,-6.2346433924108,-11.9752256389294,0.0357306183134,0.00706213736259,-6.23653762524207,-11.9823454870824,5.74058224651858,5.74580786184034,-5.74058224651858,-5.74580786184034,-0.315245663581584,-0.315376514927717
395,-9.61668721152479,-15.5498381518528,0.0134011269554,0.00387115255881,-9.64401196706896,-15.6569094259527,5.93315094032802,6.01289745888378,-5.93315094032802,-6.01289745888378,-0.235755665697179,-0.237655276085803
396,-5.8705552385373,-11.4928635913246,0.0826376889745,0.0157860967751,-6.03926048592287,-11.6615524385845,5.62230835278729,5.62229195266164,-5.62230835278729,-5.62229195266164,-0.323801919879854,-0.317629025098468
397,-7.94805063414819,-13.4172761432298,0.033939076441,0.0086773199814,-8.19555019911771,-13.6760835034314,5.46922550908157,5.48053330431369,-5.46922550908157,-5.48053330431369,-0.255986045337369,-0.25057722613903
398,-7.18583645148001,-12.9860585463813,0.0293698806093,0.00704189137146,-7.2852845765961,-13.1206799385647,5.80022209490129,5.83539536196858,-5.80022209490129,-5.83539536196858,-0.287539772317685,-0.285965182269778
