"FIDs","BAN_JING","YDH","YDMZGUID","IW_Gamma0_VV_mean","s1vh","s1vvstd","s1vhstd","s1med.x","s1med.y"
15,15,"43312712441551","ac46aa3b-4cc4-4374-883e-01d70d63693e",0.145148202777,0.0377853885293,0.0245682802051,0.00560166081414,0.141715228558,0.0372265838087
16,15,"43312712453552","a78d641b-70ef-4edc-89a3-931219ba1066",0.221729829907,0.0531959794462,0.0287127271295,0.00923182535917,0.223303794861,0.0521904341877
17,15,"43312712441553","32376bf1-fd9a-497e-b661-c9a372efd076",0.145866960287,0.0429792106152,0.0294614173472,0.0065228282474,0.142069771886,0.0418718345463
18,15,"43312712451160","2b36336a-712a-4d6c-aa57-ce5e1c46b773",0.140764072537,0.0421014614403,0.022853076458,0.00702866306528,0.135424658656,0.0417674817145
19,15,"43312712453161","5e9f9253-e558-429b-8e93-81e1b320a12b",0.130906537175,0.0355706699193,0.0224820673466,0.006289888639,0.126918628812,0.0354047976434
20,15,"43312712453162","5e9f7797-2e5e-4de8-9cb7-b168d0b6cee8",0.131076991558,0.0361064746976,0.0191902909428,0.00517764827237,0.12968993187,0.035394616425
21,15,"43312712433657","4ccd2452-b23c-4f86-b3f3-232805a6f11e",0.232946023345,0.0646786540747,0.0431005358696,0.0115181403235,0.229200392962,0.0629756897688
22,15,"43312735451658","812617c5-96a4-4fc1-9c52-3170c5804eaf",0.163741961122,0.0436359234154,0.0352832637727,0.00874383654445,0.158101573586,0.0438725240529
23,15,"43312712441659","17f2ffb6-f07f-4ad5-8cae-f7f4f929c658",0.237988129258,0.0547562539577,0.0408038385212,0.0087825357914,0.236015573144,0.0548545531929
24,15,"43312712452660","e5814cf4-0590-46f0-8372-26e96e17e64e",0.21627292037,0.0545151308179,0.0387698970735,0.00955139193684,0.21261741221,0.0537177585065
25,15,"43312537423202","aae0eb7b-36b6-41e3-aac3-22616ebad49e",0.24400959909,0.0663286969066,0.0403722636402,0.00899728015065,0.232775583863,0.0651680454612
26,15,"43312536423203","283e27f1-409e-4e2d-a635-a905f4f5df64",0.23810814321,0.0624055452645,0.0483660399914,0.00941553805023,0.228800728917,0.0616020038724
27,15,"43312512442204","a45ce21f-ea12-4baa-a51e-58701dfec13b",0.130081489682,0.0373406484723,0.0188927222043,0.00440703192726,0.130921915174,0.0369857139885
28,15,"43312512453205","75fb67a2-ae84-4944-bcff-95989facfa18",0.134534016252,0.0392496138811,0.0193681716919,0.00426781130955,0.134082689881,0.0387227907777
29,15,"43312535423206","78f56919-aafc-4b6e-9e3d-bc0ae69a28cb",0.162908449769,0.050479285419,0.0226183664054,0.00650215428323,0.162618324161,0.0498016662896
30,15,"43312523441207","8d298e20-dacd-45c1-a1e8-f8cd7f5376e7",0.177317023277,0.050187446177,0.0312149394304,0.00696547934785,0.171128973365,0.0500183217227
31,15,"43312523441208","089ef4c7-ec3a-4dea-843e-e757cd45d312",0.149532556534,0.0472587347031,0.0216340981424,0.00674916012213,0.145376935601,0.0475120730698
32,15,"43312523443209","2f378473-5cb2-42a2-a057-78b7023ded1e",0.152390792966,0.0470889173448,0.022477671504,0.00593428639695,0.145780012012,0.0472483746707
33,15,"43312512451210","a0a12251-6a86-444d-aedf-1c251368aca9",0.171161010861,0.0538440160453,0.0283373836428,0.00611063931137,0.171460330486,0.0530962273479
289,15,"43310106432201","9687fd9e-d762-4d6d-a129-e4d4e48953fe",0.163071721792,0.0517226904631,0.0238062515855,0.00530290743336,0.158484980464,0.0518723390996
290,15,"43310106422202","0ab7b14a-c98f-4f00-bcd1-b45e36f40429",0.136869266629,0.037586029619,0.0285493675619,0.00564964255318,0.130610525608,0.0371067784727
291,16,"43310101421203","f5d87601-cd53-451d-b916-857f0961b952",0.163087114692,0.0469785407186,0.0327113419771,0.00418697670102,0.158842280507,0.0471299141645
292,15,"43310101422204","ce1370a4-a1f7-44eb-a0af-fde41b0c9093",0.180393829942,0.0513983629644,0.0247259959579,0.00535308150575,0.184906497598,0.0507705770433
293,15,"43310101422205","3c3cd145-76da-4281-b4a3-0bce363652c2",0.231253534555,0.0616371557117,0.033458031714,0.00640088226646,0.232261955738,0.0612665377557
294,15,"43310107433206","e253d91c-8a04-4e6e-96b5-84dd50184130",0.208425298333,0.0725721642375,0.0326456911862,0.00940953847021,0.201404333115,0.0725279226899
295,15,"43310107433207","94994ac5-f65b-40cb-b7fc-b447abe12364",0.248624935746,0.0708567798138,0.0349176041782,0.0115418881178,0.240661561489,0.0720263719559
296,15,"43310137421208","81ae2cd8-c347-4da5-8e66-e10916086a99",0.209178835154,0.0528467781842,0.0434327088296,0.0086243133992,0.213820844889,0.0528464652598
297,15,"43310112422209","e5f03a27-d0a9-47c9-98b5-060f22d22468",0.133789584041,0.0386795885861,0.0192685090005,0.00442370492965,0.132616728544,0.0392257459462
298,15,"43310136421210","fe8131b4-7041-4c8a-ba33-7b92bf917a76",0.191289022565,0.057776581496,0.0210489761084,0.00665862858295,0.190312251449,0.0565980933607
299,15,"43310135422211","834872c7-34b4-4bea-8e1c-42271a87c97e",0.115944355726,0.0339610204101,0.0193959195167,0.00421868078411,0.116331502795,0.0338424667716
300,15,"43310107422212","fd6105f2-2c9c-47bc-ad01-01563f220572",0.13177524507,0.0336905606091,0.0257920604199,0.00404840847477,0.13307005167,0.0340807177126
301,15,"43310136442213","b67b406f-4ca1-4e01-b587-a4dd54c92336",0.219558238983,0.0548102855682,0.0215449482203,0.00721886754036,0.222095906734,0.0541804246604
302,15,"43310106421214","e1662098-5650-46c6-b463-6ccede1d5f66",0.256718575954,0.0667477473617,0.0375195257366,0.0100867692381,0.258264034986,0.067988678813
303,15,"43310107411215","b4fb4942-b746-45fe-ad46-71066b1fe9e4",0.300223141909,0.0908299982548,0.0399343892932,0.0486178360879,0.302607923746,0.0837463140488
304,15,"43312606422201","f51fd915-ab92-4b3d-9104-4f81e9e804be",0.163046002388,0.0454328395426,0.0295700766146,0.00555675523356,0.167375817895,0.0451904535294
305,15,"43310112412216","9bfd1282-41ab-4afc-aef1-aaa659c6a071",0.109017908573,0.027523573488,0.0185094885528,0.00414880085737,0.107564620674,0.0283577740192
306,15,"43312636431202","a0f3c07e-f883-4461-9e6a-bf7ad2bc4c60",0.201331958175,0.0445315949619,0.0276842806488,0.00805742293596,0.198338806629,0.0428958460689
307,15,"43312606421203","b1783df4-503a-40cc-ae30-1b0637772671",0.146415665746,0.0390858389437,0.0251154322177,0.00755425542593,0.146158918738,0.0385991819203
308,15,"43312612432204","e9689ee6-a8e2-46ad-8284-9eb129f48bcd",0.225104212761,0.0485454946756,0.0325615666807,0.00842483900487,0.220072984695,0.0493200644851
309,15,"43312407411201","0dd43979-0020-4e84-a7e1-d10a75d79d8d",0.252741426229,0.0627357512712,0.0613356009126,0.0104724531993,0.239621549845,0.0610929019749
310,15,"43312435421202","b6dc47bd-e636-4629-9dbc-293255473114",0.110026158392,0.0320091843605,0.018462209031,0.00546887284145,0.107415594161,0.0314012430608
311,15,"43312406433203","74dd2a59-f8ae-43f9-95ba-63c7fd391a62",0.139636397362,0.0424339659512,0.0161851737648,0.00688195647672,0.138983696699,0.0411943681538
312,15,"43312412411204","5047362e-126b-4e3d-8297-7060f70dc214",0.179008841515,0.0494175590575,0.0300051048398,0.0085780620575,0.171080261469,0.0481251999736
313,15,"43312412411205","45f347b2-e1b6-48fc-983e-cc348c7cbf0b",0.221196427941,0.0609836503863,0.0342411026359,0.0101564703509,0.212814867496,0.060030836612
314,15,"43312407411206","cecff33c-f840-4438-8f84-37bb052dd6e4",0.133220747113,0.0401744171977,0.0234305169433,0.00769987190142,0.130104020238,0.039399895817
