"FIDs","BAN_JING","YDH","YDMZGUID","17_sl_HH_F02DAR","p2hv"
332,15,"43310101422401","6158419e-5a82-42ef-b816-b96bea8017e0",9529,4922
333,15,"43310101432402","a5345c66-699a-4c4f-a7ab-060e85fe256e",4975,3416
334,15,"43310101433403","62a3ce04-e629-49a8-9a9c-af2f3d63fddd",6128,2889
335,15,"43310107432404","86ec39ed-ef3b-4acf-b477-9a420c44271e",8694,5316
336,15,"43310137443405","8f53e84c-d845-49a4-932d-44a4f743a22c",4265,1867
337,15,"43310106432406","fb2eedc9-18b6-4bab-a1ff-783866124ae5",7145,5245
338,15,"43310107423408","c6e266f2-6fd4-4526-8764-cbfe1c8d16ea",8278,3832
339,15,"43310137443409","1b06763c-d395-4a10-8784-d2747af20b8d",8240,3314
340,15,"43310136432410","4c2585f4-de09-4c47-9133-c55c274fd00a",3663,2556
341,15,"43310136433411","0ff83259-632c-4128-a661-01f350cf4f50",6116,4541
342,15,"43310106421412","4303b8d5-a3bc-4f7e-bc14-2953508af4c0",6179,3500
343,15,"43310137442413","3236cc79-577e-4a7d-9ebe-64af3673ec79",4878,2392
344,15,"43310137451414","3a48436d-f58c-4134-83a1-7f1ac31524b3",4731,2627
345,15,"43310137441415","ef554ea2-0a5e-4223-a07c-4d9091e1ad17",5940,1611
346,15,"43310135443416","ae16c6c2-c64c-4c8f-91fe-99e2930f68f2",4757,2564
347,15,"43310137441417","40451a99-cc91-42fa-8cca-f22dabff8ab5",8170,2693
348,15,"43310137453418","3532f4fc-5325-4626-ab2d-f02c49535960",9525,2181
349,15,"43310137441419","852556b4-d431-4fe1-bb20-a45a627f4ac3",7869,3450
350,15,"43312612411401","3384b325-e7e0-4cde-aa0c-88dc71fe385b",4824,2363
351,15,"43312635431402","e54abf49-0277-446c-b015-d02d4abd1d32",11102,4329
352,15,"43312635432403","3fa168a7-586f-4f1a-97fc-71368ea8a956",5122,2715
353,15,"43312635443404","6c5f7f5f-92a6-4858-9b6e-80aa190ea328",6146,3360
354,15,"43312612432405","1206fbe4-78df-499f-8cee-5f43983cdeef",5040,2231
355,15,"43312612411406","1024539a-6c90-4663-b887-55eb4e264206",7158,2696
356,15,"43312607443407","d9ddc887-f6d2-4a82-a978-d5bdc9cbf294",5343,4299
357,15,"43312412423401","3f14f0c7-5505-4405-9fe4-f9cd0ca2fe69",7147,1499
358,15,"43312408433402","73a85c2b-4597-4f8c-a741-3b009f9332ae",4221,3849
359,15,"43312408423403","fe81d6d0-06bb-4043-9c28-55a4323b7fa2",7050,3692
360,15,"43312408411404","3a8b68c4-8ecf-4030-af53-40abec5fa77e",4903,2436
361,15,"43312512412401","9d9d96f3-ad04-4866-8522-104fdb1b6036",3755,2291
362,15,"43312537421402","67f2e988-0513-4a00-ae01-e23b0eac0913",5796,2680
363,15,"43312537433403","816d4d37-09a2-4811-9fb8-274fd30bf849",4929,2738
364,15,"43312437423405","f1b76df8-d287-43f8-b7b0-f111e5cf089f",6348,1525
365,15,"43312506431404","6e8b5ce6-7fab-4833-9e9c-5e4a61eeebb4",4715,2739
366,15,"43312437432406","15c29859-527b-44af-b739-ea9f1be3e57f",6716,3949
367,15,"43312437422407","8054e1a1-d822-402e-bccf-10d778d7eb55",6187,2883
368,15,"43312437441408","a8933815-54f2-4e24-be44-db29fdc39bc5",7905,1810
369,15,"43312431422409","8b2bf985-024b-491e-ab16-2990e3d15347",5146,2997
370,15,"43312431422410","d9a5475a-d3d1-402d-b52b-ee6e633d05d8",4980,3650
371,15,"43312412422411","7f21f95f-70b3-4bb6-b700-69ce80e0a5f3",4848,1975
372,15,"43312435421412","1551c8c9-b118-418f-b0a8-298bde5ace36",5945,2667
373,15,"43312431423413","ec9812c2-5dc9-4ab8-92fb-76f7315da6fc",5922,3336
374,15,"43312431421414","7a9638c4-23da-4819-9ed3-b956a2b9a876",5824,3013
375,15,"43312431421415","c0534644-1703-4794-a939-3f2bc19354c6",6952,4515
376,15,"43312431431416","1c8b36be-afd0-49e5-8457-11439e1f4760",4203,2375
377,15,"43312431422417","0fd39b3a-1a0e-4a7d-9c86-76560e2d7bbd",4795,2924
